epoch,train_loss,val_loss,val_acc,val_macro_f1
52,0.033931,1.662534,0.766889,0.729113
53,0.033879,1.769704,0.733428,0.696694
54,0.034993,1.754469,0.737076,0.697093
55,0.034507,1.475116,0.784967,0.748589
56,0.034178,1.743358,0.754520,0.715764
57,0.032632,1.658116,0.785918,0.745358
58,0.033000,1.681001,0.754995,0.717100
59,0.032550,2.165867,0.696162,0.644066
60,0.033272,2.020899,0.728037,0.691461
61,0.032099,1.986745,0.761814,0.716794
62,0.033081,1.570234,0.776245,0.742043
63,0.032716,1.612240,0.760228,0.727597
64,0.031279,1.900862,0.761180,0.723059
65,0.031367,1.803557,0.758325,0.721186
66,0.030366,1.714083,0.768633,0.729294
67,0.029290,1.877415,0.760704,0.719023
68,0.031751,1.809165,0.770377,0.730859
69,0.031399,1.664888,0.772122,0.736646
70,0.029522,1.734882,0.748493,0.708393
71,0.029486,1.792360,0.749604,0.712282
72,0.032050,2.042269,0.749128,0.709085
73,0.032800,1.798845,0.765937,0.727402
74,0.031118,1.570208,0.785918,0.750696
75,0.031502,1.851430,0.773708,0.732811
76,0.029855,1.980104,0.751824,0.706745
77,0.030403,1.783100,0.757215,0.718297
78,0.030695,1.590662,0.780209,0.745454
79,0.030032,1.746772,0.764827,0.728747
80,0.030483,1.794370,0.772122,0.733456
81,0.029118,1.876094,0.743419,0.701872
82,0.028603,1.613473,0.775928,0.738115
83,0.028888,1.730318,0.744370,0.703326
84,0.029490,2.080897,0.696955,0.674278
85,0.030161,1.762918,0.760863,0.724594
86,0.027516,1.827742,0.751665,0.711719
87,0.028050,1.728203,0.754520,0.712187
88,0.029172,1.987088,0.751189,0.713886
89,0.029605,1.822332,0.759118,0.717477
90,0.028119,1.914014,0.731367,0.691118
91,0.029115,1.759980,0.772122,0.736076
92,0.028335,1.653371,0.761814,0.724828
93,0.028312,1.665799,0.768633,0.731194
94,0.029287,1.667644,0.760863,0.725284
95,0.029233,2.409502,0.734856,0.692391
96,0.028220,1.896849,0.751665,0.710827
97,0.027748,1.645985,0.769109,0.730775
